DesignIndex,RadiusSetId,RadiusSet_um,TargetFillFactor,MinDistanceFactor,Seed,IslandCount,ActualFillFactor,TopKPeakRatio,PeakBackgroundRatioPenalty,HazeRisk,HazeRiskPenalty,Objective
124,2,[0.8 1.2 1.8],0.3,1,4,521,0.2837744140625,0.641815921371509,0.151509562569093,0.150743095633914,0.00199900387526966,0.704839287647039
154,2,[0.8 1.2 1.8],0.35,1,4,521,0.2837744140625,0.641815921371509,0.151509562569093,0.150743095633914,0.00199900387526966,0.704839287647039
184,2,[0.8 1.2 1.8],0.4,1,4,521,0.2837744140625,0.641815921371509,0.151509562569093,0.150743095633914,0.00199900387526966,0.704839287647039
214,2,[0.8 1.2 1.8],0.45,1,4,521,0.2837744140625,0.641815921371509,0.151509562569093,0.150743095633914,0.00199900387526966,0.704839287647039
245,3,[0.8 1.2 1.6 2],0.3,1,5,414,0.2822509765625,0.638201577176406,0.138574746299259,0.166347309075798,0.00363783102012214,0.704891893481758
275,3,[0.8 1.2 1.6 2],0.35,1,5,415,0.283505859375,0.638201577176406,0.138574746299259,0.166347309075798,0.00363783102012214,0.704891893481758
18,1,[1 1.5],0.3,1.2,8,520,0.26658935546875,0.632609902858067,0.18769276635732,0.144909577237871,0.00151139801700888,0.705859361168173
48,1,[1 1.5],0.35,1.2,8,520,0.26658935546875,0.632609902858067,0.18769276635732,0.144909577237871,0.00151139801700888,0.705859361168173
78,1,[1 1.5],0.4,1.2,8,520,0.26658935546875,0.632609902858067,0.18769276635732,0.144909577237871,0.00151139801700888,0.705859361168173
108,1,[1 1.5],0.45,1.2,8,521,0.2672900390625,0.632609902858067,0.18769276635732,0.144909577237871,0.00151139801700888,0.705859361168173
483,5,[0.8 1 1.4 1.8 2.2],0.3,1,3,349,0.245341796875,0.643823321894364,0.121258421338891,0.16890490977412,0.00395289282151564,0.706028233470554
513,5,[0.8 1 1.4 1.8 2.2],0.35,1,3,350,0.2456591796875,0.643823321894364,0.121258421338891,0.16890490977412,0.00395289282151564,0.706028233470554
543,5,[0.8 1 1.4 1.8 2.2],0.4,1,3,350,0.2456591796875,0.643823321894364,0.121258421338891,0.16890490977412,0.00395289282151564,0.706028233470554
573,5,[0.8 1 1.4 1.8 2.2],0.45,1,3,351,0.2471826171875,0.643823321894364,0.121258421338891,0.16890490977412,0.00395289282151564,0.706028233470554
429,4,[0.6 1 1.4 1.8],0.4,1,9,509,0.267060546875,0.638762108038813,0.151463816154377,0.159460524701098,0.00285451380771514,0.70604701273142
459,4,[0.6 1 1.4 1.8],0.45,1,9,509,0.267060546875,0.638762108038813,0.151463816154377,0.159460524701098,0.00285451380771514,0.70604701273142
367,4,[0.6 1 1.4 1.8],0.3,1,7,509,0.26552490234375,0.642134695932064,0.164503014722824,0.141890102314247,0.0012857407876666,0.706139455023386
397,4,[0.6 1 1.4 1.8],0.35,1,7,510,0.266142578125,0.642134695932064,0.164503014722824,0.141890102314247,0.0012857407876666,0.706139455023386
